code,date,termination_date,timestamp,exact,status,country,provider,mobile_subscriptions_2009,mobile_subscriptions_2010,mobile_subscriptions_2011,mobile_subscriptions_2012,mobile_subscriptions_2013,mobile_subscriptions_2014,mobile_subscriptions_2015,mobile_subscriptions_2016,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,individual_net_usage_2009,individual_net_usage_2010,individual_net_usage_2011,individual_net_usage_2012,individual_net_usage_2013,individual_net_usage_2014,individual_net_usage_2015,individual_net_usage_2016
CRI,,,,,,,,42.4,67.0,87.7,111.9,146.0,142.2,150.7,159.2,30.56,37.27,42.26,46.47,49.75,50.66,54.84,57.44,34.33,36.50,39.21,47.50,45.96,53.00,59.76,66.03
CSS,,,,,,,,111.1,114.5,108.0,104.2,109.4,111.8,114.0,117.2,55.89,60.95,66.20,70.65,71.28,71.39,69.52,66.71,31.93,35.74,42.43,42.85,45.58,48.63,50.85,53.75
CUB,,,,,,,,5.5,8.9,11.7,14.9,17.7,22.5,29.7,35.5,62.08,64.33,68.99,73.14,77.15,80.66,87.13,0.00,14.33,15.90,16.02,21.20,27.93,29.07,37.31,38.77
CUW,10/13/2016,,1476316800,Not exact,Added,Curaçao,Digicel,140.2,138.3,136.1,131.8,128.2,119.0,115.8,112.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,61.86
CYM,,,,,,,,200.3,181.2,171.0,171.7,167.8,153.7,155.5,157.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.50,66.00,69.47,69.70,71.40,74.10,77.00,79.00
CYP,,,,,,,,121.1,124.9,128.5,128.6,127.6,130.2,131.8,134.5,25.94,25.56,27.43,25.04,24.08,23.36,19.68,20.05,49.81,52.99,56.86,60.69,65.45,69.33,71.72,75.90
CZE,,,,,,,,124.6,122.6,124.1,126.8,128.2,129.5,115.6,115.5,206.18,207.48,227.95,207.38,209.40,207.82,186.83,195.31,64.43,68.82,70.49,73.43,74.11,74.23,75.67,76.48
DEU,,,,,Prohibited,Germany,,126.2,106.5,109.7,111.6,120.9,120.4,116.7,114.5,3418.01,3417.09,3757.70,3543.98,3752.51,3890.61,3375.61,3477.80,79.00,82.00,81.27,82.35,84.17,86.19,87.59,89.65
DJI,,,,,,,,15.7,19.9,22.8,24.7,28.0,32.4,34.9,37.8,1.05,1.13,1.24,1.35,1.46,1.59,1.73,0.00,4.00,6.50,7.00,8.27,9.50,10.71,11.92,13.13
DMA,10/13/2016,,1476316800,Not exact,Added,Dominica,Digicel,138.7,148.3,152.6,152.5,130.0,102.1,106.3,107.4,0.49,0.49,0.50,0.49,0.50,0.52,0.54,0.58,42.02,47.45,48.60,49.80,51.00,57.50,65.00,67.03
DNK,,,,,,,,123.7,115.7,128.7,130.3,125.1,127.0,125.0,122.9,321.24,322.00,344.00,327.15,343.58,352.99,301.30,306.90,86.84,88.72,89.81,92.26,94.63,95.99,96.33,96.97
DOM,2/5/2015,,1423094400,Missing Data,Added,Dominican Republic,Orange,87.3,88.8,86.4,86.9,88.4,78.9,82.6,80.8,48.38,53.95,57.75,60.61,61.97,65.23,68.10,71.58,27.72,31.40,38.00,42.32,45.90,49.58,54.22,61.33
DZA,3/1/2017,,1488326400,Not exact,Added,Algeria,Ooredoo,90.0,88.4,94.3,97.5,100.8,108.4,106.4,117.0,137.21,161.21,200.02,209.06,209.76,213.81,165.87,159.05,11.23,12.50,14.90,18.20,22.50,29.50,38.20,42.95
